epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
    37,             0.06444,            0.020896,            0.002214,             0.42858,             0.32456,             0.29808,            0.060868,             0.06885,            0.016693,           0.0031324,             0.00712,             0.00712,             0.00712
    38,             0.06288,            0.020447,           0.0019161,             0.39636,             0.33696,             0.25445,             0.06339,            0.069338,            0.016165,           0.0028468,             0.00704,             0.00704,             0.00704
    39,             0.06529,            0.020659,           0.0023073,             0.31316,             0.45675,             0.30318,            0.066552,            0.069926,            0.015922,           0.0036579,             0.00696,             0.00696,             0.00696
    40,            0.063188,             0.02029,           0.0021684,             0.56143,              0.3722,             0.35087,            0.080152,             0.06643,            0.015984,           0.0027026,             0.00688,             0.00688,             0.00688
    41,            0.063534,            0.020323,            0.001963,              0.5059,             0.31299,             0.31456,            0.063986,            0.067432,            0.016033,           0.0023011,              0.0068,              0.0068,              0.0068
    42,            0.064037,            0.020563,           0.0022897,             0.37744,             0.45413,             0.31533,            0.066037,            0.068669,            0.015787,            0.002857,             0.00672,             0.00672,             0.00672
    43,            0.062607,            0.020199,           0.0023626,             0.40797,             0.41811,             0.32622,            0.076458,            0.066871,            0.015929,           0.0029462,             0.00664,             0.00664,             0.00664
    44,             0.06219,            0.020243,            0.001634,             0.46866,             0.32594,             0.29145,            0.069333,            0.067095,            0.015994,           0.0023526,             0.00656,             0.00656,             0.00656
    45,             0.06315,             0.01987,           0.0027946,             0.44366,              0.3426,             0.28511,            0.058951,            0.069414,            0.016383,           0.0037721,             0.00648,             0.00648,             0.00648
    46,            0.062921,            0.020214,            0.002241,             0.35803,             0.38182,             0.28402,            0.070444,            0.067498,            0.016105,           0.0035672,              0.0064,              0.0064,              0.0064
    47,            0.062775,            0.019243,           0.0023457,             0.41369,              0.3701,             0.30761,             0.07363,            0.067947,            0.016132,           0.0028319,             0.00632,             0.00632,             0.00632
    48,            0.063706,            0.020287,           0.0019085,             0.35774,             0.40266,             0.30846,            0.074239,            0.067014,            0.015818,           0.0024905,             0.00624,             0.00624,             0.00624
    49,            0.061674,            0.022042,           0.0018132,             0.31463,             0.33151,             0.22537,            0.049437,            0.070132,            0.015711,           0.0029661,             0.00616,             0.00616,             0.00616
    50,            0.061832,            0.019776,           0.0020206,             0.42728,             0.40655,             0.35499,            0.075542,            0.067037,             0.01602,           0.0024929,             0.00608,             0.00608,             0.00608
    51,            0.062509,            0.019783,             0.00239,             0.36288,             0.38097,             0.28439,            0.075848,            0.065946,            0.016101,           0.0027313,               0.006,               0.006,               0.006
    52,            0.061311,            0.020065,           0.0022875,             0.44968,             0.42505,             0.33821,            0.073682,            0.066746,            0.015747,           0.0025094,             0.00592,             0.00592,             0.00592
    53,             0.05994,            0.019251,           0.0018516,             0.37219,             0.43677,             0.33616,            0.076003,            0.066871,            0.016108,           0.0029361,             0.00584,             0.00584,             0.00584
    54,            0.060254,             0.02008,           0.0020397,             0.43211,             0.43287,             0.35179,            0.087751,            0.066647,            0.015855,           0.0025168,             0.00576,             0.00576,             0.00576
    55,            0.060793,            0.020182,           0.0016343,             0.35993,              0.3251,             0.27154,            0.064271,             0.07117,             0.01579,           0.0041135,             0.00568,             0.00568,             0.00568
    56,            0.059581,            0.020419,           0.0014297,             0.35784,               0.443,             0.33698,            0.084109,            0.067517,            0.015622,           0.0025155,              0.0056,              0.0056,              0.0056
    57,            0.061196,            0.018806,           0.0018262,             0.49811,             0.35859,             0.34674,            0.077677,            0.067737,            0.015574,           0.0030952,             0.00552,             0.00552,             0.00552
    58,            0.059103,            0.020326,           0.0017238,             0.41597,             0.40424,             0.28916,            0.070939,            0.069722,            0.016171,           0.0028932,             0.00544,             0.00544,             0.00544
    59,            0.059962,            0.020756,            0.001595,             0.52187,             0.31847,             0.28646,            0.073616,            0.067784,            0.016317,           0.0027752,             0.00536,             0.00536,             0.00536
    60,            0.058809,            0.018953,           0.0014038,             0.43964,             0.33455,             0.31866,            0.086214,            0.068038,            0.016044,           0.0025243,             0.00528,             0.00528,             0.00528
    61,            0.059863,            0.020518,           0.0018887,             0.47904,             0.42493,             0.39356,             0.10268,             0.06604,            0.015707,           0.0018993,              0.0052,              0.0052,              0.0052
    62,            0.059358,            0.020703,           0.0020036,             0.47368,             0.37766,             0.30917,            0.086409,            0.066172,             0.01585,           0.0022764,             0.00512,             0.00512,             0.00512
    63,            0.059666,            0.019835,           0.0018679,             0.44258,             0.35319,             0.32389,            0.075143,            0.067724,            0.015916,           0.0021001,             0.00504,             0.00504,             0.00504
    64,            0.059394,            0.018626,            0.001781,             0.42124,             0.40802,             0.32511,            0.078979,             0.06865,            0.015759,           0.0023324,             0.00496,             0.00496,             0.00496
    65,            0.057364,            0.019832,           0.0016729,             0.40871,             0.42666,             0.32149,            0.076867,            0.066955,            0.015794,           0.0018762,             0.00488,             0.00488,             0.00488
    66,             0.05807,            0.020625,           0.0013122,             0.41341,              0.5201,             0.38503,            0.092918,            0.064951,            0.015489,           0.0024688,              0.0048,              0.0048,              0.0048
    67,            0.058509,            0.021102,           0.0014562,             0.42895,             0.47527,             0.35398,            0.089058,            0.066584,            0.015663,           0.0019512,             0.00472,             0.00472,             0.00472
    68,            0.057668,            0.020378,           0.0015425,             0.39155,             0.48467,             0.35608,            0.097101,            0.067412,            0.015603,           0.0020154,             0.00464,             0.00464,             0.00464
    69,            0.058361,            0.019296,           0.0012012,             0.42615,             0.41728,             0.31063,            0.091234,            0.065905,            0.015763,            0.002417,             0.00456,             0.00456,             0.00456
    70,            0.057956,            0.019658,           0.0011755,             0.34473,             0.42885,             0.30264,            0.079313,             0.06738,            0.015811,            0.002369,             0.00448,             0.00448,             0.00448
    71,            0.057627,            0.018179,           0.0012014,             0.43845,             0.34922,             0.28533,            0.070419,            0.068353,              0.0159,           0.0021911,              0.0044,              0.0044,              0.0044
    72,            0.058023,            0.020111,           0.0019832,             0.40329,             0.38097,             0.32753,            0.081659,            0.070344,             0.01548,           0.0022887,             0.00432,             0.00432,             0.00432
    73,            0.057248,            0.019827,            0.001691,             0.58203,             0.29948,             0.33618,            0.088549,            0.069738,            0.015448,           0.0017871,             0.00424,             0.00424,             0.00424
    74,            0.057247,            0.020078,           0.0013838,             0.35276,             0.45602,             0.33549,            0.076288,             0.06795,            0.015537,           0.0018566,             0.00416,             0.00416,             0.00416
    75,            0.056296,            0.019325,           0.0013404,             0.43546,             0.40814,             0.37253,             0.10048,            0.066449,            0.015748,           0.0020988,             0.00408,             0.00408,             0.00408
    76,            0.057082,            0.019657,           0.0011994,             0.43345,             0.41118,             0.36652,              0.0928,            0.065009,            0.016015,           0.0017369,               0.004,               0.004,               0.004
    77,            0.056109,            0.018541,           0.0011165,             0.42402,             0.44749,             0.36342,            0.093075,            0.067532,            0.015619,           0.0018904,             0.00392,             0.00392,             0.00392
    78,            0.055567,            0.019017,           0.0013578,             0.47472,             0.41654,              0.3779,            0.095578,            0.067785,            0.015481,           0.0024573,             0.00384,             0.00384,             0.00384
    79,            0.055424,             0.01938,           0.0012995,             0.47876,             0.36206,             0.34252,            0.078364,             0.06939,             0.01551,           0.0022488,             0.00376,             0.00376,             0.00376
    80,            0.055912,            0.020296,           0.0011623,             0.43567,             0.34003,             0.29754,            0.072902,            0.068904,            0.015725,           0.0021389,             0.00368,             0.00368,             0.00368
    81,            0.056827,            0.018935,           0.0015026,              0.3267,             0.46369,             0.32458,            0.079798,            0.067346,            0.015646,           0.0023978,              0.0036,              0.0036,              0.0036
    82,            0.056258,            0.019107,           0.0011484,             0.33012,             0.45517,             0.29669,            0.074909,            0.068628,            0.015653,            0.002188,             0.00352,             0.00352,             0.00352
    83,            0.055989,            0.019547,           0.0013794,             0.41427,             0.42796,             0.30655,             0.08614,            0.068416,            0.015699,           0.0019572,             0.00344,             0.00344,             0.00344
    84,            0.055142,            0.018737,            0.001112,             0.37663,             0.42812,             0.32325,            0.080532,             0.06799,            0.015757,           0.0026036,             0.00336,             0.00336,             0.00336
    85,            0.055821,             0.01918,            0.001725,             0.39794,             0.41654,             0.31052,            0.081517,            0.069836,            0.015558,           0.0028685,             0.00328,             0.00328,             0.00328
    86,            0.055481,            0.017469,           0.0012666,             0.44742,             0.40412,             0.34273,              0.0837,            0.067739,             0.01585,           0.0023893,              0.0032,              0.0032,              0.0032
    87,            0.054659,            0.018632,           0.0013082,             0.39478,             0.43823,             0.35106,            0.091235,            0.067202,            0.016118,           0.0019242,             0.00312,             0.00312,             0.00312
    88,            0.056527,             0.01855,           0.0013298,              0.3963,             0.44359,             0.36849,            0.091697,            0.069748,            0.015793,           0.0021926,             0.00304,             0.00304,             0.00304
    89,            0.054961,             0.01995,          0.00098754,             0.40597,             0.43158,             0.34241,            0.097592,            0.068528,            0.015709,           0.0018593,             0.00296,             0.00296,             0.00296
    90,              0.0536,            0.018813,           0.0011465,             0.41069,             0.44591,             0.32386,            0.092031,            0.067941,            0.015566,           0.0021138,             0.00288,             0.00288,             0.00288
    91,            0.053236,            0.018433,           0.0008677,             0.42425,             0.41045,             0.35175,             0.10504,            0.068922,            0.015887,           0.0019144,              0.0028,              0.0028,              0.0028
    92,            0.053447,            0.018526,           0.0012922,             0.48897,             0.38645,             0.34939,            0.098271,            0.068438,            0.015811,            0.002221,             0.00272,             0.00272,             0.00272
    93,             0.05242,             0.01919,          0.00099637,             0.56869,             0.36793,             0.38078,            0.097322,            0.068634,            0.015565,            0.002042,             0.00264,             0.00264,             0.00264
    94,             0.05374,            0.018069,           0.0010109,             0.49267,              0.3973,             0.37119,            0.094403,            0.069823,            0.015676,           0.0025936,             0.00256,             0.00256,             0.00256
    95,            0.054157,             0.01955,           0.0010913,             0.46143,             0.37951,             0.32889,            0.088714,            0.069894,            0.015657,           0.0019911,             0.00248,             0.00248,             0.00248
    96,            0.052119,             0.01795,           0.0010015,             0.43474,             0.37368,             0.32374,            0.073275,            0.070432,            0.015639,            0.002106,              0.0024,              0.0024,              0.0024
    97,            0.052577,            0.018377,          0.00093425,             0.37832,             0.37153,              0.2675,            0.076857,            0.070046,            0.015541,           0.0019619,             0.00232,             0.00232,             0.00232
    98,             0.05304,            0.018023,            0.001177,             0.42959,             0.44591,             0.33409,            0.083827,            0.067978,            0.015655,           0.0020929,             0.00224,             0.00224,             0.00224
    99,            0.052428,            0.017329,            0.001496,             0.40783,             0.41038,             0.31334,            0.079982,            0.068448,            0.015677,           0.0021825,             0.00216,             0.00216,             0.00216
